Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80684I99900KS,Intel,Core i9-9900KS,1,106,3111,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,BX80684I99900KF,Intel,Core i9-9900KF,2,100,6339,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz
CPU,BX80684I99900K,Intel,Core i9-9900K,3,100,130883,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,BX80684I79700K,Intel,Core i7-9700K,4,99.2,141444,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,BX80684I79700KF,Intel,Core i7-9700KF,5,98,1998,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,BX80684I99900,Intel,Core i9-9900,6,96.1,1361,https://cpu.userbenchmark.com/SpeedTest/816115/IntelR-CoreTM-i9-9900-CPU---310GHz
CPU,BX80684I78086K,Intel,Core i7-8086K,7,95.3,20316,https://cpu.userbenchmark.com/SpeedTest/516988/IntelR-CoreTM-i7-8086K-CPU---400GHz
CPU,100-100000025BOX,AMD,Ryzen 7 3800X,8,94.8,25581,https://cpu.userbenchmark.com/AMD-Ryzen-7-3800X/Rating/4047
CPU,100-100000023BOX,AMD,Ryzen 9 3900X,9,94.6,40543,https://cpu.userbenchmark.com/AMD-Ryzen-9-3900X/Rating/4044
CPU,100-100000051WOF,AMD,Ryzen 9 3950X,10,94.5,3473,https://cpu.userbenchmark.com/AMD-Ryzen-9-3950X/Rating/4057
CPU,BX80684I79700,Intel,Core i7-9700,11,94.3,10934,https://cpu.userbenchmark.com/SpeedTest/816180/IntelR-CoreTM-i7-9700-CPU---300GHz
CPU,100-100000010WOF,AMD,Ryzen TR 3960X,12,94.1,398,https://cpu.userbenchmark.com/SpeedTest/969111/AMD-Ryzen-Threadripper-3960X-24-Core-Processor
CPU,100-100000011WOF,AMD,Ryzen TR 3970X,13,93.9,352,https://cpu.userbenchmark.com/SpeedTest/970030/AMD-Ryzen-Threadripper-3970X-32-Core-Processor
CPU,BX8069510940X,Intel,Core i9-10940X,14,93.9,53,https://cpu.userbenchmark.com/SpeedTest/932085/IntelR-CoreTM-i9-10940X-CPU---330GHz
CPU,BX80684I59600K,Intel,Core i5-9600K,15,93.9,80227,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031
CPU,BX80684I59600KF,Intel,Core i5-9600KF,16,93.5,7552,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz
CPU,BX8069510900X,Intel,Core i9-10900X,17,93.4,124,https://cpu.userbenchmark.com/SpeedTest/969950/IntelR-CoreTM-i9-10900X-CPU---370GHz
CPU,BX80684I79700F,Intel,Core i7-9700F,18,93.3,4321,https://cpu.userbenchmark.com/SpeedTest/816132/IntelR-CoreTM-i7-9700F-CPU---300GHz
CPU,BX80684I78700K,Intel,Core i7-8700K,19,93.1,408183,https://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937
CPU,100-100000071BOX,AMD,Ryzen 7 3700X,20,92.4,115064,https://cpu.userbenchmark.com/AMD-Ryzen-7-3700X/Rating/4043
CPU,BX8069510920X,Intel,Core i9-10920X,21,92.3,65,https://cpu.userbenchmark.com/SpeedTest/931866/IntelR-CoreTM-i9-10920X-CPU---350GHz
CPU,BX80684I59600,Intel,Core i5-9600,22,91.6,161,https://cpu.userbenchmark.com/SpeedTest/853186/IntelR-CoreTM-i5-9600-CPU---310GHz
CPU,100-100000022BOX,AMD,Ryzen 5 3600X,23,91.4,44976,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600X/Rating/4041
CPU,BX80684I39350KF,Intel,Core i3-9350KF,24,90.8,181,https://cpu.userbenchmark.com/Intel-Core-i3-9350KF/Rating/4055
CPU,BX80684I58600K,Intel,Core i5-8600K,25,90.4,143861,https://cpu.userbenchmark.com/Intel-Core-i5-8600K/Rating/3941
CPU,BX80673I99920X,Intel,Core i9-9920X,26,90.3,531,https://cpu.userbenchmark.com/SpeedTest/656219/IntelR-CoreTM-i9-9920X-CPU---350GHz
CPU,BX80673I99940X,Intel,Core i9-9940X,27,89.4,575,https://cpu.userbenchmark.com/SpeedTest/641326/IntelR-CoreTM-i9-9940X-CPU---330GHz
CPU,BX8069510980XE,Intel,Core i9-10980XE,28,88.9,58,https://cpu.userbenchmark.com/SpeedTest/935899/IntelR-CoreTM-i9-10980XE-CPU---300GHz
CPU,100-1000000158,AMD,Ryzen 5 3500X,29,88.8,1020,https://cpu.userbenchmark.com/AMD-Ryzen-5-3500X/Rating/4052
CPU,BX80673I99900X,Intel,Core i9-9900X,30,88.8,1507,https://cpu.userbenchmark.com/SpeedTest/639130/IntelR-CoreTM-i9-9900X-CPU---350GHz
CPU,BX80673I99960X,Intel,Core i9-9960X,31,88.7,313,https://cpu.userbenchmark.com/SpeedTest/653060/IntelR-CoreTM-i9-9960X-CPU---310GHz
CPU,BX80673I79800X,Intel,Core i7-9800X,32,88.5,1260,https://cpu.userbenchmark.com/SpeedTest/651256/IntelR-CoreTM-i7-9800X-CPU---380GHz
CPU,BX80684I59500,Intel,Core i5-9500,33,88.4,953,https://cpu.userbenchmark.com/SpeedTest/825467/IntelR-CoreTM-i5-9500-CPU---300GHz
CPU,100-1000000050,AMD,Ryzen 5 3500,34,88.3,712,https://cpu.userbenchmark.com/AMD-Ryzen-5-3500/Rating/4053
CPU,100-100000031BOX,AMD,Ryzen 5 3600,35,88.2,157968,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600/Rating/4040
CPU,BX80673I97900X,Intel,Core i9-7900X,36,87.9,11021,https://cpu.userbenchmark.com/Intel-Core-i9-7900X/Rating/3936
CPU,BX80684I78700,Intel,Core i7-8700,37,87.3,153732,https://cpu.userbenchmark.com/Intel-Core-i7-8700/Rating/3940
CPU,BX80677I77700K,Intel,Core i7-7700K,38,87.3,364769,https://cpu.userbenchmark.com/Intel-Core-i7-7700K/Rating/3647
CPU,BX80677I77740X,Intel,Core i7-7740X,39,87.1,3265,https://cpu.userbenchmark.com/SpeedTest/304932/IntelR-CoreTM-i7-7740X-CPU---430GHz
CPU,BX80677I57640X,Intel,Core i5-7640X,40,86.8,1391,https://cpu.userbenchmark.com/SpeedTest/310543/IntelR-CoreTM-i5-7640X-CPU---400GHz
CPU,BX80673I77820X,Intel,Core i7-7820X,41,86.7,18405,https://cpu.userbenchmark.com/Intel-Core-i7-7820X/Rating/3928
CPU,BX80673I97940X,Intel,Core i9-7940X,42,86.6,2401,https://cpu.userbenchmark.com/SpeedTest/353078/IntelR-CoreTM-i9-7940X-CPU---310GHz
CPU,BX80673I97920X,Intel,Core i9-7920X,43,86.3,2637,https://cpu.userbenchmark.com/SpeedTest/278103/IntelR-CoreTM-i9-7920X-CPU---350GHz
CPU,BX80673I99980X,Intel,Core i9-9980XE,44,86.2,839,https://cpu.userbenchmark.com/SpeedTest/652504/IntelR-CoreTM-i9-9980XE-CPU---300GHz
