Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,WD121KRYZ,WD,Gold 12TB (2017),1,113,326,https://hdd.userbenchmark.com/SpeedTest/391336/WDC-WD121KRYZ-01
HDD,WD101KRYZ,WD,Gold 10TB (2016),2,111,556,https://hdd.userbenchmark.com/SpeedTest/171115/WDC-WD101KRYZ-01JPDB0
HDD,WD8003FRYZ,WD,Gold 8TB (256MB Cache 2017),3,105,351,https://hdd.userbenchmark.com/SpeedTest/388081/WDC-WD8003FRYZ-01JPDB1
HDD,WD6002FFWX,WD,Red Pro 6TB (2015),4,102,575,https://hdd.userbenchmark.com/SpeedTest/139230/WDC-WD6002FFWX-68TZ4N0
HDD,WD6002FRYZ,WD,Gold 6TB (2016) ,5,100,1000,https://hdd.userbenchmark.com/SpeedTest/167511/WDC-WD6002FRYZ-01WD5
HDD,WD6002FZWX,WD,Black 6TB (2016),6,98.9,3439,https://hdd.userbenchmark.com/WD-Black-6TB-2016/Rating/3927
HDD,ST3000DM008,Seagate,Barracuda 3TB (2016),7,98,51776,https://hdd.userbenchmark.com/Seagate-Barracuda-3TB-2016/Rating/3898
HDD,WD8002FRYZ,WD,Gold 8TB (128MB Cache 2016),8,96.1,135,https://hdd.userbenchmark.com/SpeedTest/226349/WDC-WD8002FRYZ-01FF2B0
HDD,WD1000DHTZ,WD,VelociRaptor 1TB,9,96,4222,https://hdd.userbenchmark.com/WD-VelociRaptor-1TB/Rating/1389
HDD,ST1000DM010,Seagate,Barracuda 1TB (2016),10,94.3,392795,https://hdd.userbenchmark.com/Seagate-Barracuda-1TB-2016/Rating/3896
HDD,0S03839,HGST,Deskstar NAS 6TB,11,94,619,https://hdd.userbenchmark.com/SpeedTest/22222/HGST-HDN726060ALE610
HDD,WD5000BHTZ,WD,VelociRaptor 2.5" 500GB,12,94,224,https://hdd.userbenchmark.com/SpeedTest/11902/WDC-WD5000BHTZ-04JCPV1
HDD,ST2000DM006,Seagate,Barracuda 2TB (2016),13,93.7,264901,https://hdd.userbenchmark.com/Seagate-Barracuda-2TB-2016/Rating/3897
HDD,WD6001FZWX,WD,Black 6TB (2015),14,93,3312,https://hdd.userbenchmark.com/WD-Black-6TB-2015/Rating/3519
HDD,WD4004FZWX,WD,Black 4TB (2016),15,92.8,6484,https://hdd.userbenchmark.com/WD-Black-4TB-2016/Rating/3908
HDD,WD100EFAX,WD,Red 10TB (2017),16,92.3,722,https://hdd.userbenchmark.com/SpeedTest/324807/WDC-WD100EFAX-68LHPN0
HDD,ST4000VN008,Seagate,IronWolf 4TB (2016),17,92.2,4488,https://hdd.userbenchmark.com/Seagate-IronWolf-4TB-2016/Rating/3906
HDD,WD4002FYYZ,WD,Gold 4TB (2016),18,92.2,2076,https://hdd.userbenchmark.com/SpeedTest/147091/WDC-WD4002FYYZ-01B7CB0
HDD,0F23267,HGST,Ultrastar He8 Helium 8TB,19,91.9,471,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,0F23668,HGST,Ultrastar He8 Helium 8TB,19,91.9,471,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,HUS156045VLS600,Hitachi,UltraStar 15K600 450GB,20,91.3,62,https://hdd.userbenchmark.com/SpeedTest/9674/HITACHI-HUS156045VLS600
HDD,WD2005FBYZ,WD,Gold 2TB (2016),21,90.9,1938,https://hdd.userbenchmark.com/SpeedTest/206650/WDC-WD2005FBYZ-01YCBB1
HDD,HDWE150XZSTA,Toshiba,X300 5TB,22,90.9,5852,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,HDWE150EZSTA,Toshiba,X300 5TB,22,90.9,5852,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,ST5000DM002,Seagate,Desktop HDD 5TB (2015),23,90.7,182,https://hdd.userbenchmark.com/SpeedTest/123827/ST5000DM002-1XY17X
HDD,ST2000DM008,Seagate,Barracuda 2TB (2018),24,90.5,62974,https://hdd.userbenchmark.com/SpeedTest/466743/ST2000DM008-2FR102
HDD,ST3000DM001,Seagate,Barracuda 7200.14 3TB,25,90.3,128925,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-3TB/Rating/1374
HDD,HDWD120XZSTA,Toshiba,P300 2TB,26,90.3,41172,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD120EZSTA,Toshiba,P300 2TB,26,90.3,41172,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD120UZSVA,Toshiba,P300 2TB,26,90.3,41172,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,ST2000DM001,Seagate,Barracuda 7200.14 2TB,27,90,441999,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-2TB/Rating/1619
HDD,ST6000DM001,Seagate,Desktop HDD 6TB (2015),28,89.9,546,https://hdd.userbenchmark.com/SpeedTest/36984/ST6000DM001-1XY17Z
HDD,ST3000VX000,Seagate,Video SV35.6 Series 3TB,29,89.8,3680,https://hdd.userbenchmark.com/SpeedTest/4903/ST3000VX000-9YW166
HDD,WD5000HHTZ,WD,VelociRaptor 500GB,30,89.6,5256,https://hdd.userbenchmark.com/SpeedTest/1434/WDC-WD5000HHTZ-04N21V0
HDD,HDWD130XZSTA,Toshiba,P300 3TB,31,89.4,31318,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWD130EZSTA,Toshiba,P300 3TB,31,89.4,31318,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWD130UZSVA,Toshiba,P300 3TB,31,89.4,31318,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,WD80EFAX,WD,Red 8TB (2017),32,89.1,1819,https://hdd.userbenchmark.com/SpeedTest/314696/WDC-WD80EFAX-68LHPN0
HDD,ST1000VX000,Seagate,Video SV35.6 Series 1TB,33,89.1,8567,https://hdd.userbenchmark.com/SpeedTest/6250/ST1000VX-ST1000VX000-1CU1
HDD,ST4000VX007,Seagate,SkyHawk 4TB (2016),34,88.8,2316,https://hdd.userbenchmark.com/SpeedTest/215593/ST4000VX007-2DT166
HDD,ST3300657SS,Seagate,Cheetah 15K.7 SAS 300GB,35,88.8,693,https://hdd.userbenchmark.com/SpeedTest/9679/SEAGATE-ST3300657SS
HDD,WD1005FBYZ,WD,Gold 1TB (2016),36,88.5,1619,https://hdd.userbenchmark.com/SpeedTest/204853/WDC-WD1005FBYZ-01YCBB1
HDD,HDWE160XZSTA,Toshiba,X300 6TB,37,88.2,2061,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,HDWE160EZSTA,Toshiba,X300 6TB,37,88.2,2061,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,WD5001FZWX,WD,Black 5TB (2015),38,88,4473,https://hdd.userbenchmark.com/WD-Black-5TB-2015/Rating/3907
HDD,HDWE140XZSTA,Toshiba,X300 4TB,39,88,7645,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,HDWE140EZSTA,Toshiba,X300 4TB,39,88,7645,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,ST1000DM003,Seagate,Barracuda 7200.14 1TB,40,87.9,837544,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-1TB/Rating/1849
HDD,ST2000VX000,Seagate,Video SV35.6 Series 2TB,41,87.6,6563,https://hdd.userbenchmark.com/Seagate-Video-SV356-Series-2TB/Rating/1816
HDD,ST6000DX000,Seagate,Desktop HDD 6TB (2014),42,87.2,738,https://hdd.userbenchmark.com/SpeedTest/12188/ST6000DX000-1H217Z
HDD,WD2003FZEX,WD,Black 2TB (2013),43,87,70556,https://hdd.userbenchmark.com/WD-Black-2TB-2013/Rating/1821
HDD,PH3500U-1I72,Toshiba,MD04ACA500 5TB,44,86.8,1797,https://hdd.userbenchmark.com/Toshiba-MD04ACA500-5TB/Rating/3526
HDD,WD2500HHTZ,WD,VelociRaptor 250GB,45,86.4,1779,https://hdd.userbenchmark.com/SpeedTest/139/WDC-WD2500HHTZ-04N21V0
HDD,WD3001FFSX,WD,Red Pro 3TB (2014),46,86.3,311,https://hdd.userbenchmark.com/SpeedTest/27132/WDC-WD3001FFSX-68JNUN0
HDD,ST3000NC002,Seagate,Constellation CS 3TB,47,86.3,349,https://hdd.userbenchmark.com/SpeedTest/5929/ST3000NC002-1DY166
HDD,ST500DM009,Seagate,Barracuda 500GB (2016),48,86.2,3720,https://hdd.userbenchmark.com/Seagate-Barracuda-500GB-2016/Rating/3909
HDD,ST2000NC001,Seagate,Constellation CS 2TB,49,86.2,351,https://hdd.userbenchmark.com/SpeedTest/10959/ST2000NC001-1DY164
HDD,ST2000DX002,Seagate,FireCuda SSHD 2TB (2016),50,86.2,62391,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-2TB-2016/Rating/3903
HDD,PH3600U-1I72,Toshiba,MD04ACA600 6TB,51,86.1,300,https://hdd.userbenchmark.com/SpeedTest/35546/TOSHIBA-MD04ACA600
HDD,0S03835,HGST,Deskstar NAS 5TB,52,85.7,392,https://hdd.userbenchmark.com/SpeedTest/36844/HGST-HDN726050ALE610
HDD,,Toshiba,DT01ACA300 3TB,53,85,51734,https://hdd.userbenchmark.com/Toshiba-DT01ACA300-3TB/Rating/2735
HDD,HDWD110XZSTA,Toshiba,P300 1TB,54,84.9,117275,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWD110EZSTA,Toshiba,P300 1TB,54,84.9,117275,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWD110UZSVA,Toshiba,P300 1TB,54,84.9,117275,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,ST2000NM0033,Seagate,Constellation ES.3 2TB,55,84.7,2033,https://hdd.userbenchmark.com/SpeedTest/12036/ST2000NM0033-9ZM175
HDD,WD1003FZEX,WD,Black 1TB (2013),56,84.6,141709,https://hdd.userbenchmark.com/WD-Black-1TB-2013/Rating/1822
HDD,,Toshiba,DT01ACA200 2TB,57,84.5,160807,https://hdd.userbenchmark.com/Toshiba-DT01ACA200-2TB/Rating/2736
HDD,ST3000VN007,Seagate,IronWolf 3TB (2016),58,84.5,1250,https://hdd.userbenchmark.com/Seagate-IronWolf-3TB-2016/Rating/3905
HDD,ST3000VX010,Seagate,SkyHawk 3TB (2016),59,84.1,827,https://hdd.userbenchmark.com/SpeedTest/237204/ST3000VX010-2E3166
HDD,ST2000VN004,Seagate,IronWolf 2TB (2016),60,83.9,2116,https://hdd.userbenchmark.com/SpeedTest/245098/ST2000VN004-2E4164
HDD,ST4000DM005,Seagate,Barracuda 4TB (2016),61,83.9,18294,https://hdd.userbenchmark.com/Seagate-Barracuda-4TB-2016/Rating/3899
HDD,WD40EZRZ,WD,Blue 4TB (2015),62,83.8,45493,https://hdd.userbenchmark.com/WD-Blue-4TB-2015/Rating/3523
HDD,WD4001FFSX,WD,Red Pro 4TB (2014),63,83.7,333,https://hdd.userbenchmark.com/WD-Red-Pro-4TB-2014/Rating/2664
